IsStance,marker,sentence
,key,"Moreover, we have strengthened the regulation of factories in key ecological and environmental protection areas through reinforcing the control requirement and ensuring adequate funding investment."
,key,"Mengniu has developed PLA9 PBS10 straws which exhibit no significant difference in performance and quality compared to conventional PP straws within a 6-month shelf-life, meeting the compliance and key performance standard requirements."
,key,"Under the Ecosystem- Collaborative & Accountable pillar of the GREEN strategy, Mengniu focuses on three key topics of sustainable procurement, sustainable agriculture, and biodiversity conservation, and is committed to leading upstream and downstream partners to jointly create a sustainable industrial ecosystem through a series of targeted supply chain management initiatives."
,key,Supply Chain ESG Risk Management Mengniu establishes and maintains the Mengniu Responsible Supply Chain ESG Risk List and the Procurement Risk Sorting and Identification Form to identify key risk points within procurement activities.
,key,This cycle consists of five key steps Feed planting - Dairy farming - Manure treatment - Manure return to the farmland (Biogas power generation) - Feed planting.
,key,"We analyzed the dietary nutritional intake data of Chinese people over 3 years of age and considered the nutritional attributes, processing technology, sensory and other aspects of each product category, focused on the key nutrition and health indicators of different populations, to formulate the Standard The Standard, as an important cornerstone for upgrading the nutrition and health attributes of Mengniu s products, provides the direction and goal of upgrading the nutritional quality of the products, and facilitates the continuous optimization and innovation of the business."
,key,"Since 2016, Mengniu has collaborated with various domestic and international universities and research institutes to conduct extensive research on the composition of human milk oligosaccharides (HMOs)28 with the aim of assisting the milk powder industry in achieving the localization of key fortification ingredients."
,key,"The traceability information covers 8 processes and 16 steps of the whole industrial chain, achieving 100 coverage of key information of products, including supplier information of raw and auxiliary materials, material batches and product batches."
,key,"For the key quality safety personnel, the Group conducted 27 empowerment trainings of 5 N, including 9 trainings of Five 100, covering more than 500 managers of factory legal person, quality, safety and environment, technology and energy; 18 trainings of N topics covering more than 300 core business personnel of data, systems, regulations, intelligent manufacturing, comprehensively empowering quality management and building a talent team of safety, quality and technology."
,key,"Meanwhile, we focused on key management requirements for data compliance before the conduction of projects, embedding compliance review points into the contract review management mechanism to strengthen personal information protection."
,will,"Through these endeavors, we will achieve the mission of every drop of nutrition makes every life thrive with science and technology."
,will,"During the 14th Five-Year Plan period, Mengniu, standing at a new stage of development, will lead in the construction of a new paradigm of development of China's dairy industry and formulate its strategic plan of Creating a New Mengniu, striving to develop into a Mengniu beloved by consumers, an international Mengniu, a Mengniu with strong sense of responsibility, a Mengniu with strong cultural gene, and a digitalized Mengniu."
,will,"In view of the problems found in the reporting, the Group will timely formulate measures to block the management loopholes."
,will,"If any issue of child labor is discovered, we will immediately assist in contacting the legal guardian for resolution."
,will,"If any illegal employment practices are found, we will conduct thorough investigations and strictly handle them in accordance with laws and regulations as well as the Group's requirements."
,will,"In combination with the development strategy of excellent talents, we have connected advanced AI to our digital learning platform, which will intelligently analyze employees learning behaviors and habits, answer their questions and interpret complex concepts through personalized learning, intelligent tutoring and other functions, thereby providing employees with a more efficient, convenient and interesting learning experience and promoting the common growth of the Group and employees."
,will,"In addition, employees can appeal about disputes concerning personal performance appraisal results, workplace misconduct and other aspects, and the relevant responsible person will investigate their complaints, solve them in time and provide feedback."
,will,"If the supplier s assessment result does not meet our standards, we will offer the supplier a rectification opportunity with defined timeframe and initiate a corresponding review process."
,will,"If the supplier violates the unacceptable terms in the assessment or fails to meet Mengniu s minimum ESG requirements after rectification, we will terminate the cooperation with the supplier."
,will,"For the supplier who violates the principle of integrity and the terms of the Sunshine Agreement, or causes significant economic, brand, reputation, or other losses to Mengniu, we will terminate the cooperation and add the supplier to blacklist."
,will,"Among these, suppliers blacklisted due to violations of the Sunshine Agreement will be permanently banned, while other blacklisted suppliers will be banned for five years."
,will,"In the future, Mengniu will continually optimize and upgrade the Standards based on research progress in the field of nutrition and health, and continually innovate its products scientifically, to provide consumers with better dietary choices."
,will,"With milk as the carrier, a nutrient combination delivery system for specific functions will be realized."
,will,"Good Combinations In the future, Mengniu will integrate precise nutritional technology into the design of Life Nutrition Milk."
,will,"All complaints are forwarded timely to the person responsible for handling the complaints, and feedback of consumer complaints will be provided within the stipulated time."
,will,"For complaints that have not yet been closed, we will continue to follow up until the complaint is closed."
,project,"In January 2024, the Group held the annual Sustainability Conference, and granted annual recognition and awards to departments and project teams with outstanding performance in sustainable development in 2023."
,project,"We released the Sustainable Development Course training video on Worth-It online platform, with around 9, 000 times of people participation by the end of 2023. 12 young employees of the Group participated in the SDG Innovation Accelerator for Young Professionals project organized by United Nation Global Compact (UNGC), identified business challenges related to Sustainable Development Goals (SDGs) and designed innovative solutions."
,project,"Every year, we evaluate the effectiveness of risk response through three dimensions of self-evaluation by the project team, evaluation by the service party and special evaluation by the risk management department, so as to provide a basis for the subsequent risk management work."
,project,"For successors, we developed Blue Sea project and cultivated more than 600 core management reserve talents, with a view to improving leading talents management capabilities, accelerating the reserve of management talents, outputting key position reserves and continuously enhancing the succession talent pool, through online and in-person training activities, regular coaching, formulation and implementation of personal learning & development plan, job rotation, project practice and other training modes."
,project,"The project covered more than 3, 000 current managers."
,project,"Cultivation of Elite Professional Talents Through the Youth Training Camp project, Mengniu has been selecting high-potential young talents group-wide to cultivate the innovation ability and management competence of young talents in all-round way."
,project,"Through the Future Star project, we have provided multiple jobs for fresh graduates, and provided diversified growth and development paths for graduates of different majors."
,project,"Cultivation of Top-notch Young Talents We have launched the first phase of the strategic international talent training project, with the main purpose of cultivating and improving trainees cross-cultural communication skills, deepening their understanding of international operation, and expanding their global vision, while focusing on sales, supply chain, finance and other core and key job groups."
,project,"33 34 Mengniu 2023 Sustainability Report Responsibility-Common Prosperity The various departments of Mengniu are highly coordinated, providing innovative and entrepreneurial talents with a platform for capacity building and project incubation."
,project,"For example, we have launched the Future Star plan for fresh graduates, as a key talent development project to support the realization of Mengniu s future strategy."
,project,"Mengniu launched a low-carbon business travel project, which identifies employees carbon reduction behaviors during business travel through reimbursement system orders and invoices."
,project,"The Fresh Milk Business Unit has initiated a pilot project on air-to-rail transportation of goods and medium- to long- distance cargo, collaborating with planned logistics center and partners."
,project,Replacement of air-conditioning ice water with tap water Chabei Factory replaced air-conditioning ice water with tap water in its air-condition renovation project to reduce ice water consumption.
,project,This project effectively reduces sludge disposal in wastewater treatment plants by over 80 achieves an annual cost savings of 85.
,project,"The system is capable of managing runoff, mitigating non-point source pollution, and facilitating the utilization of rainwater resources in order to minimize the impact of project development on the regional water environment."
,project,"Mengniu 2023 Sustainability Report Environment-Carbon Net-Zero In response to the national call to reduce food waste, Mengniu participated in the Join Action to Reduce Food Waste project initiated by the China Chain Store and Franchise Association and Walmart China, and became one of the pioneering member of the project."
,project,"In 2023, Mengniu's PP recycled boxes project was awarded the Carbon Footprint Certificate and shortlisted for the British Chamber of Commerce Shanghai's circular economy excellence case."
,project,"This project is dedicated to recycling milk tetra packs and reprocessing them into reusable stuffs and materials, such as trash bins, paper, building boards."
,project,"95 96 Mengniu 2023 Sustainability Report Ecosystem-Collaborative & Accountable Promote the standard operating procedures for perinatal health care of dairy cows in farms, covering 80 of our farms The impact level of heat stress on cows has decreased by 5 compared to 2022Carry out comfort improvement project for dairy cows among socialized farms, covering more than 60 of our farms Silage comprehensive index17 has increased by 1 compared to 2022In 2023, the animal welfare level of Mengniu cooperative farms continued to improve, with notable enhancements in the following indicators Mengniu provides guidance on animal welfare protection in cooperative farms, organizes annual animal welfare related trainings, and ensures that the trainings cover Mengniu s employees, cooperative farms, and herdsmen."
,project,"Meanwhile, Modern Dairy and Central Southern China Electric Power Design Institute Co., Ltd. of China Power Engineering Consulting Group jointly launched the RNG (Renewable Natural Gas) cogeneration project."
,project,This project generates electricity from manure and utilizes renewable energy sources like solar and wind power to replace conventional fossil fuels.
,project,"By the end of 2023, relying on the desert control project carried out in Ulan Buh Desert in the past, China Shengmu of Mengniu has planted more than 98 million plants adapted to sandy soils."
,project,"In our efforts to increase the traceability of palm oil, we have collaborated with the Earthworm Foundation to undertake traceability enhancement project on the origin of palm oil purchased for Mengniu's main business operations in mainland China."
,project,"The project collected ecological conservation-related cases from 106 nature schools 26, summarizing and demonstrating the experiences and practices of past schools in areas such as climate change response, biodiversity conservation and rural revitalization, and promoting the theoretical exploration and practical development of ecological and environmental education."
,project,"Mengniu s brand, Future Star, cooperated with the Children Development and Research Center of China Youth Concern Committee to carry out the 2023 China Pre-school Education Quality Enhancement project, focusing on the theme of Balanced diet and exercise of children which provides scientific diet and exercise guidelines for Chinese children through a series of popularization activities."
,project,"We have continuously launched the A Journey of Probiotics Discovery project, through the recording of popular science videos and the organization of consumer interaction activities, to disseminate knowledge about Chinese probiotics strains to consumers, continuously enhancing their attention to Chinese probiotics and intestinal health."
,project,"In cooperation with the School of Public Health of Tsinghua University, we conducted a research project on the impact of the organic diet on infant health in early life."
,project,"Mengniu 2023 Sustainability Report Nutrition- Supreme & Inclusive Probiotics Research Sports Nutrition Research Product Research In collaboration with COFCO Nutrition and Health Research Institute and other research institutes, we have completed the project of the Key Technology Development and Application on Manufacturing of Dairy Product with Domestic Probiotics and have successfully achieved self-development of domestic probiotics such as Lactobacillus paracasei PC-01, LC-37 and Bifidobacterium lactis MN-Gup, which have the functions of promoting digestion and regulating glucose and lipid metabolism."
,project,"Mengniu's independent R&D project of Key Technological Innovation and Application of Low-temperature Processing of Fresh Milk was evaluated by Zhongke Hechuang (Beijing) Scientific and Technological Achievement Evaluation Center, and the overall results of the project are in the leading position in China, while some of them are in the leading position around the world."
,project,"In order to ensure the steady progress of patent protection, the Group has increased the budget for intellectual property, recruited professional talents, and embedded patent management in the project development process, to enhance the protection of innovative achievements and the quality of patent applications."
,plan,"During the 14th Five-Year Plan period, Mengniu, standing at a new stage of development, will lead in the construction of a new paradigm of development of China's dairy industry and formulate its strategic plan of Creating a New Mengniu, striving to develop into a Mengniu beloved by consumers, an international Mengniu, a Mengniu with strong sense of responsibility, a Mengniu with strong cultural gene, and a digitalized Mengniu."
,plan,"Mengniu s official website, WeChat official account, the Anti-Corruption Agreement, typical case announcement, node notice, customer email, customer service platform, Ding Talk work group, integrity reminder, integrity training materials, integrity scoring plan and publicity materialsChannels to release ways of receiving complaints and reportsIn 2023, Mengniu was granted ISO 37301 and GB T35770 compliance management system certification by China Quality Certification Centre and SGS-CSTC Standards Technical Services Co., Ltd."
,plan,"For successors, we developed Blue Sea project and cultivated more than 600 core management reserve talents, with a view to improving leading talents management capabilities, accelerating the reserve of management talents, outputting key position reserves and continuously enhancing the succession talent pool, through online and in-person training activities, regular coaching, formulation and implementation of personal learning & development plan, job rotation, project practice and other training modes."
,plan,"Employees regularly review the target achievement, discuss the target completion difficulties and communicate the target adjustment plan with their immediate leader."
,plan,"For example, we have launched the Future Star plan for fresh graduates, as a key talent development project to support the realization of Mengniu s future strategy."
,plan,"In response to the national Dual Carbon goal, Mengniu has established and improved its Dual Carbon governance structure and set the strategic plan of carbon peak by 2030 and carbon neutrality by 2050, focusing on production, raw milk, packaging, transportation and products."
,plan,"59 60 Mengniu 2023 Sustainability Report Environment-Carbon Net-Zero Based on the Group's dual-carbon target of carbon peak by 2030 and carbon neutrality by 2050 and strategic plan, Mengniu has clarified the focus on carbon reduction in production related scope 1 and 2."
,plan,Monitoring level Accounting level Reporting level Verification level Each factory develops and publishes a carbon emission monitoring plan.
,plan,"Each business unit takes up the Group s low-carbon development plan, thus breaking down the emission reduction targets, and formulating business unit-specific low-carbon plans and management documents from three aspects of production, packaging, and transportation."
,plan,"This resulted in achieving a PDCA6 closed-loop control, encompassing risk identification, plan formulation, process supervision, tracking and early warning, as well as risk rectification and closure."
,plan,"Throughout the year, Mengniu optimized the online pollutant monitoring system by enhancing the clarity of the abnormal data reporting process and the disposal plan to ensure that the pollutant discharge is in line with the standard."
,plan,"During cooperation, we set up annual supplier assessment plan and carry out targeted quality inspection based on the quality risk level of suppliers."
,plan,"The plan aims to contribute to the achievement of our zero deforestation goal in 2030 through a series of measures, including the development of a zero deforestation target and pathway planning, the implementation of a soybean reduction and substitution strategy, the promotion of the zero deforestation soybean procurement principle, the priority procurement of soybeans from low-risk regions, and the procurement of certified soybeans."
,plan,"GPT, Mengniu released the WOW Health digital intelligence platform, which provides consumers with a series of nutrition and health knowledge, including nutritional plan development, exercise plan development, personalized nutritional advice, and nutritional meal preparation, through Mengniu s AI nutritionist, to help consumers understand healthier lifestyles, and promote consumers practice nutrition and health concepts."
,plan,"In 2023, we completed Mengniu's internal risk management plan of raw material, guided our raw material suppliers to carry out risk assessment, grading the risk management in each stages and comprehensively upgrading Mengniu's risk management and control capabilities of raw material."
,plan,"Mengniu conducts dealer satisfaction research and consumer satisfaction research and accesses consumers' feelings, suggestions and specific needs on products through online questionnaires and product reviews on e-commerce platforms and other channels, forms improvement and enhancement plan to continuously improve consumer satisfaction."
,can,"Through various forms such as communication interviews with executives and other relevant parties, and questionnaires, we can better understand the key concerns of stakeholders."
,can,"After the communication with the department leaders to formulate the personal performance goals that can be measured, the staff confirmed and signed the performance contract."
,can,"In addition, employees can appeal about disputes concerning personal performance appraisal results, workplace misconduct and other aspects, and the relevant responsible person will investigate their complaints, solve them in time and provide feedback."
,can,"With the pursuit of Let s do great things, we create an innovative mechanism of only imagination can do the impossible, and use the opportunities and platforms to achieve talents."
,can,"In addition to providing services and guidance at employee induction, promotion, transfer, retirement and other important timing, we elaborately designed new surprise and memory for employees, and launched online function of 12 things can be done in Mengniu, to guide employees record their career in Mengniu and continuously strengthen their connection with Mengniu."
,can,"Factory Water Conservation Practice Reuse of reclaimed water The Meishan Factory optimized water recycling technology and management, along with the establishment of the Multi-Tank CIP System, which can recycle reclaimed water into water tanks for flushing and reuse, saving approximately 60 tonnes of water per day."
,can,"Conformity inspections are carried out according to national product standards, registered enterprise standards, as well as Mengniu's quality standards and only materials that pass the inspection can supply to Mengniu."
,can,"In 2023, all cooperative farms of Mengniu have implemented the utilization of manure resources, which can be used as bedding materials for cows, solid or liquid organic fertilizers, biomass fuels, biogas production, aquaculture feed, etc."
,can,"Specifically, 100 of the palm oil can be traced back to the refinery, 80 to the palm oil mill, and 73 to the plantation."
,can,"Good Sources Mengniu's Life Nutrition Milk can be fortified with nutrients for different groups of people, including the elderly and children, as well as for special needs such as metabolic health and cardiovascular health."
,can,"Mengniu's probiotics pool and functional probiotics screening platform can be utilized for the development and validation of core functional strains and products, the realization of specific pairing combinations of probiotics and functional raw materials, and the development of intestinal health detection technology."
,can,"Currently, 100 of Mengniu's products can be traced back to the origin of raw milk, raw materials and auxiliary materials."
,can,"Product Trace and Recall 100 of Mengniu's products can be traced back to the origin of raw milk, raw materials and auxiliary materials In 2023 0 product recall 121 122 Mengniu 2023 Sustainability Report Nutrition- Supreme & Inclusive"
,significant,"Mengniu attaches great importance to the potential significant impacts that ESG risks and opportunities may have on the Group, continuously evaluates the possibility and extent of such risks and opportunities, and develops plans and measures to mitigate ESG risks associated with the business operations."
,significant,"In 2023, the Group's green electricity procurement reached 10. 82 million kWh, indicating a significant increase of 41 compared to 2022."
,significant,"With the assistance of third-party professiona and focusing on significant risks, Mengniu has ennhanced its safety and environmental management according to relevant regulations and mechanisms, as well as regulatory inspections of ecological environmental protection and other requirements."
,significant,"Meanwhile, Mengniu developed an internal management guide and review mechanism for ecological and environmental compliance, marking a significant milestone in strengthening the compliance management and control capacity of basic-level factories through self-assessment and self-review by the Group, business units and factories and promoted the development of environmental protection system management to centralization, standardization, systematization and process- orientation."
,significant,"During the year, Mengniu did not experience any significant environmental incidents."
,significant,"Mengniu has developed PLA9 PBS10 straws which exhibit no significant difference in performance and quality compared to conventional PP straws within a 6-month shelf-life, meeting the compliance and key performance standard requirements."
,significant,"Mengniu s, Little Shiny Meadow 450ml, is designed with an innovative bottle structure that reduces the original PET bottle weight from 36g to 32g, which reduces packaging cost and enhances the bottle's anti-negative pressure performance, as well as increases the fun of the design, forming a significant difference from similar products in the market."
,significant,"ESG Risk Identification ESG Risk Response ESG Risk Assessment 13 Strategic suppliers suppliers that have a significant impact on Mengniu based on the comprehensive evaluation with reference to the quantitative analysis of all suppliers' innovation ability, cost control ability, industry status and ESG management ability by purchasing management department of Mengniu."
,significant,"After the risk assessment, we identify suppliers with significant ESG risks and low business stability."
,significant,"For the supplier who violates the principle of integrity and the terms of the Sunshine Agreement, or causes significant economic, brand, reputation, or other losses to Mengniu, we will terminate the cooperation and add the supplier to blacklist."
,significant,"Research on Breast Milk and Infant Nutrition The Middle- Aged and the Elderly Nutrition Research Mengniu took the lead in establishing an independent large-scale maternal and infant cohort study27 in China, which has made significant scientific and technological advancements."
,significant,"P7-8 Reporting Principles-A description of, or an explanation on, the application of the following Reporting Principles in the preparation of the ESG report Materiality The ESG report should disclose (i) the process to identify and the criteria for the selection of material ESG factors; (ii) if a stakeholder engagement is conducted, a description of significant stakeholders identified, and the process and results of the issuer s stakeholder engagement."
,significant,"P69-76 A4 Climate ChangeGeneral Disclosure Policies on identification and mitigation of significant climate-related issues which have impacted, and those which may impact, the issuer."
,significant,"P57-60 A4. 1 Description of the significant climate-related issues which have impacted, and those which may impact, the issuer, and the actions taken to manage them."
,significant,"P57-68 SocialB1 Employment General Disclosure Information on (a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to compensation and dismissal, recruitment and promotion, working hours, rest periods, equal opportunity, diversity, anti-discrimination, and other benefits and welfare."
,significant,P41-42 B2 Health and SafetyGeneral Disclosure Information on (a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to providing a safe working environment and protecting employees from occupational hazards.
,significant,P42 B4 Labor StandardsGeneral Disclosure Information on (a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to preventing child and forced labor.
,significant,"P85-101 B6 Product ResponsibilityGeneral Disclosure Information on (a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to health and safety, advertising, labelling and privacy matters relating to products and services provided and methods of redress."
,significant,"P129-130 B7 Anti- corruptionGeneral Disclosure Information on (a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to bribery, extortion, fraud and money laundering."
,significant,"135 136 Mengniu 2023 Sustainability Report Content Index of Global Reporting Initiative (GRI) Standards GRI Standard Disclosure Pages GRI 201 Economic Performance GRI 3 Management approach disclosureManagement approach on economic performance P9 Topic-specific disclosures 201-1 Direct economic value generated and distributedP9 201-2 Financial implications and other risks and opportunities due to climate changeP57-68 GRI 203 Indirect Economic Impacts GRI 3 Management approach disclosureManagement approach on indirect economic impacts P43-54 Topic-specific disclosures203-1 Infrastructure investments and services supportedP43-54 GRI 204 Procurement Practices GRI 3 Management approach disclosureManagement approach on procurement practices P85-101 GRI 205 Anti-corruption GRI 3 Management approach disclosureManagement approach on anti-corruption P25-28, P92 Topic-specific disclosures205-2 Communication and training about anti-corruption policies and proceduresP27-30 205-3 Confirmed incidents of corruption and actions takenP26 GRI 301 Materials GRI 3 Management approach disclosureManagement approach on materials P75-80 Topic-specific disclosures301-1 Materials used by weight or volumeP139 301-3 Recycled input materials usedP78-82 GRI 302 Energy GRI 3 Management approach disclosureManagement approach on energy P57-68 Topic-specific disclosures302-1 Energy consumption within the organizationP139 302-3 Energy consumption outside of the organizationP60 302-4 Reduction of energy consumptionP60-68 GRI 303 Water and Effluents GRI 3 Management approach disclosure303-1 Interactions with water as a shared resourceP71-74 Topic-specific disclosures303-2 Management of water discharge-related impactsP73-75 303-5 Water withdrawalP71-74, P139 GRI 304 Biodiversity GRI 3 Management approach disclosureManagement approach on biodiversity P99-104 Topic-specific disclosures304-2 Significant impacts of activities, products and services on biodiversityP100-101 GRI 305 Emissions GRI 3 Management approach disclosureManagement approach on emissions P57-68GRI Standard Disclosure Pages Topic-specific disclosures305-1 Direct (Scope 1) GHG emissionsP58, P138 305-2 Energy indirect (Scope 2) GHG emissionsP58, P138 305-4 GHG emissions intensityP58, P138 305-5 Reduction of GHG emissionsP60-68 305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissionsP138 GRI 306 Waste GRI 3 Management approach disclosure306-1 Waste generation and significant waste-related impactsP75-77 Topic-specific disclosures306-2 Management of significant waste related impactsP75-77 306-3 Waste generatedP139 GRI 307 Environmental Compliance GRI 3 Management approach disclosureManagement approach on environmental compliance P69-70 GRI 308 Supplier Environmental Assessment GRI 3 Management approach disclosureManagement approach on supplier environmental assessment P86-90 Topic-specific disclosures308-1 New suppliers that were screened using environmental criteriaP86-90 308-2 Negative environmental impacts in the supply chain and actions takenP86-90 GRI 401 Employment GRI 3 Management approach disclosureManagement approach on employment P31 Topic-specific disclosures401-1 New employee hires and employee turnoverP41-42 401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employeesP35-36 GRI 403 Occupational Health and Safety GRI 3 Management approach disclosure403-1 Occupational health and safety management systemP37-40 403-2 Hazard identification, risk assessment, and incident investigationP37-40 403-5 Worker training on occupational health and safetyP39-40 403-6 Promotion of worker healthP37-40 403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationshipsP37-40 Topic-specific disclosures403-8 Workers covered by an occupational health and safety management systemP37-40 403-9 Work-related injuriesP42 GRI 404 Training and Education GRI 3 Management approach disclosureManagement approach on training and education P32-33"
,committed,"As an industry-leading enterprise, we remains committed to promoting the strategy of Creating A New Mengniu, and put forward a more nutritious, smarter and greener development philosophy with an aim to accelerating the building of a world-class dairy company."
,committed,"Nutrition- Supreme & Inclusive Nutrition and Health Excellent Quality Good services With the strategic pillar of Nutrition- Supreme & Inclusive, Mengniu is committed to meeting the diverse healthy needs and providing global consumers with more nutritious and healthier products and better services."
,committed,"Mengniu is committed to accelerating action on climate change and reducing greenhouse gas emissions in the dairy industry, and systematically building a low-carbon dairy industry worldwide."
,committed,"SDGs We Focused in this Section Mengniu is committed to fulfilling its corporate social responsibility, standing firmly on responsible employer practices, and actively undertaking the era's responsibility for rural revitalization and common prosperity by leveraging its advantages in the dairy industry chain."
,committed,"Employee Well-Being Adhering to the development strategy of people-oriented, Mengniu is committed to creating an equal and inclusive workplace environment, attracting world-class dairy industry talents, and promoting the advanced experiences and practices of talent governance in the Chinese dairy industry."
,committed,"In the meantime, Mengniu is committed to promoting mutual understanding among employees of different nationalities and cultural backgrounds, and building a cross-cultural communication bridge."
,committed,"Mengniu attaches great importance to communicating and exchanging views with employees, and is committed to creating an efficient and transparent communication environment."
,committed,"Community Welfare In 2023, in active response to the national policy in promoting all-rounded education and industrial culture, and by leveraging on more modern and scientific hands-on inquiry-based learning (HIBL) and in combination of industrial culture with education, Mengniu was committed to raising the nutritional and health awareness, and giving vocational literacy enlightenment for primary and secondary school students to help with the healthy growth for Chinese teenagers."
,committed,"Environment-Carbon Net-Zero SDGs We Focused in this Section Mengniu, as China's leading dairy company, adhering to the concept of Promising a Healthier World, is committed to establishing an environmentally friendly production system, and promise to achieve carbon neutrality across the entire industry chain by 2050."
,committed,"Mengniu is committed to continuous innovation, promoting energy-saving and consumption-reduction technologies, adjusting the energy consumption structure and increasing the proportion of renewable energy use."
,committed,"At the same time, we are committed to building low-carbon and zero-carbon factories to reduce the environmental impact of production operations."
,committed,Mewngniu is committed to advocating the certification of zero- waste management system.
,committed,"Renew Applying Renewable Materials Degradable Using Degradable Materials Mengniu is committed to using renewable resources in packaging such as paper, bamboo fiber, plant-based plastics, to reduce the use of petroleum-based plastics and reliance on fossil resources."
,committed,"Under the Ecosystem- Collaborative & Accountable pillar of the GREEN strategy, Mengniu focuses on three key topics of sustainable procurement, sustainable agriculture, and biodiversity conservation, and is committed to leading upstream and downstream partners to jointly create a sustainable industrial ecosystem through a series of targeted supply chain management initiatives."
,committed,"85 86 Mengniu 2023 Sustainability Report Ecosystem-Collaborative & Accountable Sustainable Procurement Supply Chain Responsibility ManagementMengniu takes building a responsible supply chain as an important development concept, continuously extends the influence and coverage of the Group's sustainable procurement standards in the upstream and downstream supply chains and is committed to driving the sustainable development of the whole industry."
,committed,93 94 Mengniu 2023 Sustainability Report Ecosystem-Collaborative & Accountable Sustainable Agriculture Animal WelfareMengniu is committed to promoting the development of ecological circular agriculture in upstream farms and promoting the green and low-carbon development of farms.
,committed,"Members of the Working Group are committed to sourcing and using the sustainable sources of timber, palm oil, and other forest commodities."
,committed,"Nutrition- Supreme & Inclusive Released the Mengniu Nutrition and Health Policy, which is committed to strengthening management transparency while advocating industry partners to jointly focus on public nutrition and health issues."
,committed,"Highlights in 2023 Excellent Quality Good ServicesNutrition and Health SDGs We Focused in this Section Mengniu is committed to providing consumers around the world with nutritious and delicious dairy products of excellent quality, conveying the concept of nutrition and health to the public and popularizing nutritious and healthy living."
