IsStance,marker,sentence
,key,"Mengniu manages and controls key risks on liquid ammonia, limited space, fire protection, electricity, hazardous operations, contractor operations, and change operations by improving its plan on management and control of safety risk from the three aspects of holding the bull nose as a solid foundation, the grey rhinoceros normal risks, and the black sky of preventing sudden changes in risks, while reducing by 35. 15 tonnes of liquid ammonia reserve through production line iteration and technological transformation, so as to continuously reduce inherent safety risks and improve the level of intrinsic safety."
,key,Mengniu Ice Cream Product BU identified the key measures of carbon footprint management Biogas power generation Dangyang factory has achieved the goal of comprehensive utilization of energy.
,key,"The Group attaches importance to green management in the process of operation, reduces pollutant emissions in manufacturing, transportation and daily office, and carries out ecological and environmental protection management around the hierarchical control list of ecological and environmental protection, the matching list of pollution prevention and control facilities, the rectification list of key risks of ecological and environmental protection and the pollutant discharge permit file, so as to continuously improve the capability of the enterprise for pollution prevention and control."
,key,"By the end of 2021, the Company used the environmental risk map to supervise and accelerate the completion of rectification of 123 key environmental risks in total, ensuring the compliance of production and operation."
,key,"Environmental Management Action Plan Establish the hierarchal control list of ecological and environmental protection, and reinforce the control of plants in key ecological and environmental protection area."
,key,"The Company reinforced the control requirement especially for plants located in key area and ensure fund investment, carried out improvement and enhancement of ecological and environmental protection in strict compliance with the latest laws, regulations and standards."
,key,"At the same time, the Company established pollutant discharge permit information files for the Group, carried out major supervision and management for key ecological protection areas, strictly implemented the requirements of pollutant discharge permit management, and verified pollutant discharge compliance in environmental protection inspection and examination."
,key,"At present, more than 30 wastewater treatment facilities have realized data transmission and real- time monitoring, including key water pollutant indicators such as pH, COD, ammonia nitrogen, total phosphorus and total nitrogen as well as wastewater treatment volume indicators, ensuring that the terminal effluent meets national and local standards for pollutant discharge concentration and total volume and the sewage discharge is in compliance with the laws and regulations."
,key,"Water balance map of Mengniu The water balance map is kept optimizing by labeling key water consumption areas, developing regional objectives and conducting day- to- day management through red- green comparison, and improvement measures are taken to improve and verify with the table of analysis for areas beyond the scope to form a complete and sustainable close- loop management."
,key,"Meanwhile, we also developed the Mengniu Standard Operating Procedures (SOPs) and the Ranch Operation Technical Guidance Manual, to strictly regulate the standardized ranch operating procedures, which encompass 18 modules, 108 secondary modules, and 469 key points, including ranch design, disease prevention and control, reproduction and breeding, forage management, cow herd management, and parlor management, etc."
,key,"The product quality traceability information system being built to cover 8 processes and 16 links in the whole industry chain, achieving 100 coverage of key quality traceability information in the industry chain."
,key,"Quality Culture ConstructionProduct Traceability Management Mechanism In 2021, the Company aligned with the industry and relevant laws and regulations, sorted out and improved the key traceability information of the industry chain, formed product traceability information standards, solidified the sources of traceability information, covered 8 processes and 16 links of the whole industry chain to achieve 100 coverage of the key quality traceability information of the industry chain."
,will,"Step by step, Mengniu will innovate low- carbon ranches practice green production, create green packages and achieve low- carbon transportation, lead Chinese dairy industry towards carbon neutrality and contribute to achieve the national dual carbon goal."
,will,"Mengniu, with the sustainable development vision of Promise a healthier world, will resolutely practice green, low- carbon and inclusive sustainable development path, and endeavour to become a social corporate bringing more value to the mankind."
,will,"In the future, with active responses, the Group will continue to strengthen its capability in managing climate risks and opportunities."
,will,"The implementation and promulgation of the GREEN Sustainable Development Strategy and the establishment of management objectives for corresponding environmental, social and governance issues will further standardize and strengthen the Company's ESG management standards."
,will,"In the future, the Sustainability Committee will listen to reports on the progress of each goal and conduct reviews on a regular basis."
,will,"During the 14th Five- Year Plan period, Mengniu, standing at a new stage of development, will lead in the construction of a new paradigm of development of China's dairy industry and formulate its strategic plan of Creating a New Mengniu, striving to develop into a Mengniu beloved by consumers, a digitalized Mengniu, an international Mengniu, a Mengniu with strong cultural gene, and a Mengniu with strong sense of responsibility."
,will,"Business Ethics The Company strictly complied with the Civil Code of the People's Republic of China, the Criminal Law of the People's Republic of China, the Supervision Law of the People's Republic of China, the Company Law of the People's Republic of China, the Anti- Monopoly Law of the People's Republic of China, the Anti- Money Laundering Law of the People's Republic of China, the Anti- Unfair Competition Law of the People's Republic of China, the Labor Contract Law of the People's Republic of China, the Environmental Protection Law of the People's Republic of China and other laws and regulations. The Company values the construction of business ethics and integrity and compliance, and has formulated and released the Group's Compliance Management Regulations, Integrity and Compliance Manua l and management regulations and guidelines for key areas such as corporate governance, anti- monopoly, anti- bribery and business partners. Meanwhile, the Company formulated detailed anti- corruption policies and joined the UNGC in 2021 in compliance with international anti- corruption initiative. The Company has established a sound compliance management mechanism in key areas of business ethics, and advocates integrity and compliance culture, so as to build a sound business ethics management and supervision framework, improve business ethics standards and establish a sound ecosystem. The Company vigorously conducts compliance and audit supervision of business ethics, opens compliance consultation and complaint reporting channels, and strictly investigates violations of laws and regulations. Code of Conduct of Business Ethics of Mengniu Integrity and Compliance Manual It provides basic behavior guidelines for business management behaviors and business activities of the Company and all employees, and elaborates the basic requirements and cultural background of integrity and compliance between consumers, partners, shareholders, society, colleagues and the Company, and the Integrity and Compliance Commitment was signed. Compliant Business Partners It establishes a sound business partner ecosystem and a complete anti- bribery compliance management mechanism to learn and pass on the Compliance Code of Conduct of Business Partners and convey Mengniu Group's compliance standards, philosophy and culture. Anti-bribery The Group adopts zero tolerance to any form of bribery and corruption, and has established sound anti- bribery compliance management mechanism, signed the Anti- bribery Compliance Commitment and the Anti- corruptionAgreement when signing business contracts with third parties, which strictly prohibits any form of financial and non- financial benefits, including gifts, rebates, and employment opportunities that may appear in cooperation. Anti-unfair Competition It strictly regulates the internal management work in close relation to market economic activities such as contract management, advertising review and marketing management, requires the compliance with relevant laws and regulations, and ensures that business activities are compliant with relevant provisions of the Anti- Unfair Competition Law of the People's Republic of China. Anti-monopoly Adhering to the principle of fair competition, it establishes a sound anti- monopoly compliance management mechanism and signed the Anti- monopoly Compliance Commitment to avoid direct or indirect engagement in monopolistic behaviors expressly prohibited by laws and regulations, including but not limited to reaching monopoly agreements with other operators, abuse of dominant market position and the implementation of business operator concentration that has or may have the effect of eliminating or restricting competition, among others. 16 Honesty and Self-discipline Codes for Management 1. Unreveal of company secrets; 2. no damage to corporate image; 3. no occupation of corporate property; 4. no misappropriation of corporate funds; 5. no bribery; 6. no cheat; 7. no non- compliant guarantee; 8. no small exchequer; 9. no acceptance of gift from partners; 10. no borrowings from partners and subordinates; 11. no acceptance of invitation or travel, fitness, entertainment and other arrangement that may affect impartial performance; 12. no non- compliant referral or promotion of business and products to cooperators and management served; 13. no appointment of relatives within scope of authority or arrange the appointment of relatives taking use of power or influence in positions; 14. no business with relatives; 15. no illegal part- time job; 16. no involvement of pornography gambling. Avoidance of Conflict of Interests The management personnel shall not take profits for relatives or specific connected persons taking use of job convenience or arrange relatives to serve within their authority. Affiliates of relatives of management personnel and key business personnel (including specific connected persons) must not participate in equity investment or have business dealings with partners within his or her authority, failure of which, they will be listed in the blacklists of the partners."
,will,"Retaliation against whistleblowers will be processed in accordance with relevant policies, and those involving violations of laws and crimes will be handed over to judicial organs for processing."
,will,"Rural Revitalisation Industry Revitalisation Implementing Five GuaranteesAs a part of the strategy of 2025 A More Responsible Mengniu, Mengniu will vigorously contribute to the rural revitalisation and construction."
,will,"In addition, 15 pastures are under construction, when put into operation, 57, 000 farmers and herdsmen will be benefited."
,will,"In the future, Mengniu will continuously enhance its management on climate risks and opportunities, evaluate relevant risks based on initial identification and develop contingency plans."
,will,"In the long term, the national energy structure will shift to non- fossil fuel energy, and the energy use will transfer to low- emissions energy."
,will,"The completion rate of self- accounting carbon emission was 100, and we will stably produce zero- carbon benchmark products in the future."
,will,"In 2021, RMB17 million will be invested in hardware facilities renovation to complete 56 renovation projects, including renovation of sludge generation reduction, water sewage plant facilities and deodorization facilities."
,will,"After the full replacement, the Company will save 670 million paper material containers every year, and indirectly save 103, 000 tonnes of paper."
,will,"The system clearly stipulates that supplier who has caused significant losses to Mengniu Group in terms of economy, brand and reputation due to falsifying, malicious bidding, malicious defaults, breach of the principle of integrity, breach of the terms of the Sunshine Agreement, or other reasons causing economic, brand, and reputation loss will be blacklisted after identification."
,will,"In particular, blacklisted suppliers for violating the Sunshine Agreement will be permanently prohibited; other blacklisted suppliers will be prohibited for five years."
,will,"Meanwhile, Bellamy's considers the suppliers' carbon emission plan and awareness, the emission and pollution policies, and water consumption and water discharge policies to ensure that there will be no negative impact on the environment during the suppliers' operation."
,will,"In 2021, the company will update and formulate contingency plans for emergency responding to and handling of the security events of important systems, networks, websites, data, communications and infrastructure."
,project,"Board of Directors Sustainable Development Committee Sustainable Development Executive Committee Secretariat of the Sustainable Development Executive Committee Governance- Sustainability strategic pillar Day- to- day management meeting mechanism Responsibility- Common Prosperity strategic pillar Work planning mechanism Environment- Carbon Net- Zero strategic pillar Open communication mechanism for information exchange Ecosystem- Collaborative & Accountable strategic pillar Monitoring and evaluation mechanism Nutrition- Supreme & Inclusive strategic pillar Funding support mechanismDecision- making Decision- making on the Group's sustainability strategy Management Managing and advancing key sustainability issues Execution Implement sustainability programs, conduct sustainable development project in the respective departments and report the results Departments and Divisions Appointment of 46 sustainability officers and liaisonsDecision-Making Management ExecutionAs of the reporting time, Mengniu's Sustainable Development Committee comprises three executive directors (Mr. Lu Minfang, Ms. Wang Yan, Mr. Zhang Ping), a non- executive director (Mr. Simon Dominic Stevens), and an independent non- executive director (Mr. Li Michael Hankin), with Mr. Simon Dominic Stevens as the chair."
,project,"Cultivation of leading management talentsIn respect of the two groups of incumbent managers and backup successors, two systematic project systems, i. e., the qualified candidates line and the backup candidates line, have been created."
,project,The Benteng project of the qualified candidates line creates leadership open courses and training for new managers.
,project,"The blue ocean project of the backup candidates line adopts 721 full- cycle training, with strict barrier."
,project,"Cultivation of top- notch young talentsThrough the Youth Training Camp project, a portrait of young talents in CAMP was formulated, talent selection was carried out across the Group, and young talents were cultivated through two systems of innovation line and management line."
,project,"Mengniu Inclusive Nutrition Plan in Hongyuan County, Aba Prefecture in Sichuan Mengniu sponsored the Strong Angel project to provide free student milk to the children of the Baseball Base In 2021, the Inclusive Nutrition Plan donated 3. 03 million boxes of high- quality student milk to 185 schools in 43 cities in 19 provinces across the country 214, 475 benefiting students Multiple Support Mengniu also promoted the all- round development of the countryside through technical empowerment and fixed- point assistance according to local conditions, and organised activities such as ranch management training and dairy elite professional training, so as to achieve full coverage of technical guidance and training for farmers, herdsmen and poor farmers."
,project,"Mengniu actively participated in the Dairy Nourishes Africa (DNA) project initiated by the Global Dairy Platform (GDP) to help revitalise the African dairy industry and improve the nutritional and health standards for African children under the backdrop of the epidemic, and copy the successful experience of the project on a large scale and spread the warmth to Africa."
,project,"Energy structure and energy use Carbon pricing Requirem- ents of energy technologyDisclosure of environmental informationOpportunities related to climateTransition risk of climate change Risk DescriptionsRisk Descriptions Countermeasure Efficiency, resilience, innovation and market opportunitiesRisk in market supply and demandBased on government's advocacy, carbon neutral commitment, energy project and other issues, the awareness of residents, industrial customers and investors on the energy demand side has been raised, and prefer the use of clean energy."
,project,"It also continuously expands the amount of distributed photovoltaics based on priorities in project implementation and explores the application of wind energy, which serves as a reference for new R&E projects and applications of renewable energy."
,project,"The solar photovoltaic project of Mengniu's factory in Jinhua was officially put into use in 2021, with an installed capacity of 4. 70 MW and an annual design power generation of 4, 700 MWh."
,project,"Our environmental protection systems including the Mengniu Manual on Environmental Protection, Procedures for Environmental Risk Assessment and Control Planning, Administrative System for Environmental Accident Reporting and Handling, and Administrative System for Environmental Management of Construction Projects align with 196 national comprehensive and special environmental protection laws and regulations in 22 categories, to ensure environmental compliance of project construction and the process of production and manufacturing."
,project,"Environmental Management Solid waste management Environmental risk mapComprehensive management of project construction and environmental protectionWe drafted and issued the Mengniu Dairy Solid Waste Environmental Management System simultaneously in accordance with the changes and provisions in the newly revised Law of the People's Republic of China on Prevention and Control of Environmental Pollution by Solid Waste, which further regulates the management requirements of general solid waste, hazardous waste, construction waste and domestic waste throughout the whole process from generation, collection, storage, transportation and disposal."
,project,"Integration project of PET industry chain We integrated the preformed products, unified the bottle neck and reduced the gram weight of bottle cap and preform."
,project,"Bottle caps were uniformly reduced from 3. 50g to 3. 20gSize modification project of small Yoyi C bottle label The width of Yoyi C bottle label reduced from 86mm to 70mm, and the PVC consumption was decreased."
,project,"G bottle label project Since December 2021, the bottle label of 100ml, 330ml, 340ml and 800ml Yoyi C products used PET."
,project,"Material modification project of Prepack carton The material of Prepack carton was modified to 170 170 170 from 200 170 170, and the base paper material was decreased by 30g m2."
,project,"Material modification project of turnover containers The material of turnover containers for rainy season was modified to 200 170 200 from 250 140 250, and the base paper consumption was decreased by 70g m2."
,project,Its subsidiary Bellamy's and China Environmental Protection Foundation jointly released the Blue Planet public welfare project.
,project,Project Improvement Set up a project team and implement specified improvement measures in accordance with the prerequisites and management principles of the project.
,project,"The three parties launched the joint construction project of a student nutrition and food education base to promote food education research results to truly serve students, schools and families, which helps the sustainable development of the nutrition and health industry, and realises the common vision of a healthy and powerful country."
,project,"In 2021, Mengniu launched the system consistency project."
,project,"The State Scientific and Technological Progress Award of China - the Second Class On 3 November 2021, Mengniu's project Key Technology for The Control and Quality Improvement of Milk and Dairy Products won the second class of the State Scientific and Technological Progress Award of China by the State Council, which represented a high level of recognition for Mengniu's work on quality and safety and quality improvement in recent years."
,plan,"In 2021, We actively responded to the 2030 & 2060 Dual- Carbon Goals of the state, formulated dual- carbon strategic planning with the Boston Consulting Group (BCG), a world renown wisdom consulting firm with the scientific, rigorous and responsible attitude, set the strategic goal of achieving carbon peak by 2030 and carbon neutrality by 2050 taking into full consideration of the carbon emission baseline, business development plan, resource endowment characteristics and other factors, and officially started the journey of Mengniu leading the entire industry chain towards carbon neutrality."
,plan,"During the 14th Five- Year Plan period, Mengniu, standing at a new stage of development, will lead in the construction of a new paradigm of development of China's dairy industry and formulate its strategic plan of Creating a New Mengniu, striving to develop into a Mengniu beloved by consumers, a digitalized Mengniu, an international Mengniu, a Mengniu with strong cultural gene, and a Mengniu with strong sense of responsibility."
,plan,"Risk Management Mengniu values risk management and internal control, and has established risk management framework and fundamental norms with a focus on the Group's major risk management and control and the continuous optimisation of the risk management model. Following the internationally accepted COSO1 risk management framework, the Company established a risk- oriented, closed- loop management model of risk identification first, business self- management, audit supervision and follow- up based on the operating and management needs of Mengniu. This incorporates risk management into business and applies to the business management process and gives full play to its value. Mengniu has established the Mengniu Risk Management System and six implementation rules on risk identification, risk evaluation, risk response, risk monitoring, risk response appraisal and risk management report. In 2021, the Company optimised the Mengniu Risk Management Framework and Manual for Risk Management of the Group on this basis, to ensure the effective operation of the risk management system. Mengniu has put in place three lines of defence of risk management organisation structure under the leadership of the Board. The Risk Management Committee is the highest deliberative and decision- making body for risk management, in which the chief executive officer of the Group serves as the chairman, and the vice president of the Group who is in charge of risk control and auditing business serves as the deputy chairman, while the committee members comprise the head of the major business divisions and functional departments. The Risk Management Department is the body for daily affairs designated by the Risk Management Committee that reports the management and control of important risks and the operational effectiveness of the risk management system to the Audit Committee under the Board every year on a regular basis, and under the supervision of the Audit Committee. In 2021, the Company organised business departments and functional departments to adopt a three- level evaluation method of self- identification of major business, professional pre- judgment and control of TOP20 risks, and collective review of Risk Management Committee focusing on formulating a new Mengniu strategic plan and key work goals, and assess major risks from the seven aspects of group strategy, market, finance, operation, law and compliance, quality and food safety, sustainable development on which the Risk Management Committee reached a consensus. In order to promote the effective implementation of major risk management and control, and clarify main responsible department and person, Mengniu implements the accountability system. The risk management department has formulated appropriate risk response strategies, measures or contingency plans and follow- up to supervise the response effect in the process of classification, to reduce and avoid the adverse impact of important risks on the Group's strategic goals and sustainable development in an effective manner. 1 COSO Committee of Sponsoring Organisations of the Treadway CommissionThree Lines of Defences of Risk Management Organisation Structure Business divisions The first line of defence The second line of defence The third line of defenceRisk Management Committee, Risk Management Department and functional departments of the GroupThe Internal Audit Department and the Discipline Inspection Department Respondent and main responsible person of riskPlanners and supervisors of risk managementAppraiser of risk management effectivenessMengniu has taken multiple measures at four levels to carry out empowerment training on risk management concepts and methods, promoted the extensive implementation of risk management mechanisms, and improved employees' risk management awareness and prevention and control standards, gradually cultivating a risk culture, and reasonably ensuring the achievement of strategic goals. Risk Management Empowerment Training Management Grassroots Management Personnel Full-time and Part-time Risk Management PersonnelCore Middle-level Management Personnel New Employees 10 core management members participated in the major risk assessment at group level and implemented the main responsibility for risk response; The management reviewed and approved the major risk response strategies at the group level, made timely decisions for resolving cross- departmental issues and problems such as difficulties to be implemented during the process, to ensure the effectiveness of risk management implementation; The management listened to the effectiveness of the management and control of major risks in the previous year and put forward guiding opinions to promote the improvement of risk management. Training on basic norms of internal control 17 sessions of training on internal control were organised to consolidate the theoretical foundation of risk management personnel and grass- roots management personnel, more than 2, 500 personnel participated online and offline, and the Worth- It platform was launched with clicks exceeding 80, 000; Training on professional knowledge of risk management Based on the training needs of each unit, a total of more than 380 people from China Shengmu, Fuyuan Farming, and China Dairy Industrial Park have been offered risk empowerment training. The Company communicated and advocated risk management concepts on the Group's major risk management and control with 45 core middle- level management personnel by way of one- to- one communication and reporting, to unify risk management cognition, identify other risks in important business areas and key business links and provide professional assessment opinions for major risks annual identification. A risk management training course was developed for new employees as a compulsory course on risk management for new employees and promoted on the Worth- It platform with 2, 880 participants in total. 21 22 CEO's Statement A Message from the BoardAbout Mengniu Corporate Culture GREEN Sustainable Development Strategy2021 HIGHLIGHTS Governance- SustainabilityResponsibility- Common ProsperityEnvironment- Carbon Net- ZeroEcosystem- Collaborative & AccountableNutrition- Supreme & InclusiveAppendix"
