IsStance,marker,sentence
,key,"For example, the Blue Sea project adopted a 721 full-cycle training, with strict entry and strict exit, to train nearly 400 core management reserve talents, output key position reserves and continuously improve the thickness of the succession ladder."
,key,"Cultivation of Top-notch Young Talents With innovation leadership as the core, based on certain indicators and standards of young talents, Mengniu has selected and cultivated more than 800 outstanding young talents as the key strategic talent reserves, and added the Star Plus Plan and Graduate Program to comprehensively absorb high-potential outstanding graduates and enable them to become the backbone and strategic reserve talents of Mengniu quickly."
,key,"Mengniu strengthened the construction of internal trainer team, enabling core managers and lecturers to support key talent training projects."
,key,"Through the map of professional qualifications and experience, Mengniu has defined the knowledge, ability and key experience required for each professional position, providing clear career development goals and guidance for talents."
,key,"Throughout the year, Mengniu carried out 19 key talent training programs and provided 232 online courses, covering more than 7, 000 technical, quality and safety and environmental personnel."
,key,"The Company provides warm- hearted services and diverse guidance for employees at key process nodes such as job application, onboarding, job transfer, resignation and retirement, comprehensively enhancing employees' sense of belonging."
,key,"Key Moments Key Processes Key Needs The Company sends timely wishes, services, and welfare care for employees at key moments such as employment, promotion, birthday, seniority, marriage, and childbirth, providing love and warmth for every moment."
,key,"The system provides warm and guaranteed services at key moments and processes, meeting employees' critical needs."
,key,"On the one hand, we focus on key risk prevention and control, including online approval and control before, during, and after hazardous operations, full-cycle safety risk management for contractors, typical risk review of electrical circuits and important risk prevention and control measures for extreme weather conditions."
,key,"Mengniu has invested more than RMB 200 million in ecological and environmental protection, completed 21 key environmental protection renovation projects, and supervised the discharge of pollutants in 38 sewage treatment plants of the Group to meet the sewage discharge standards."
,key,"In 2025, the GHG emission intensity of a single ton of dairy products should be within 165kg CO2e t. Phase I In 2030, the absolute value of the scope 1 and 2 GHG emissions reaches the peak, and the GHG emission intensity of a single ton of dairy products should be within 160kg CO2e t. Phase II We continuously promote 15 key measures."
,key,"The Company reinforced the control requirement especially for factories located in key area and ensure fund investment, carried out improvement and enhancement of ecological and environmental protection in strict compliance with the latest laws, regulations and standards."
,key,"ESG Risk Assessment In the risk assessment process, we sort out key risk points from the identified risk items according to the Procurement Risk Sorting and Identification Form, and assess the risk level of each risk point by reference to the Procurement Risk Assessment Criteria and Assessment Form."
,key,"By organizing scientific volunteers to set up infrared cameras in the field and conducting community interviews, we monitored birds and wild animals living in the key survey areas of the Ulan Buh Desert and produced several biodiversity reports of wild animals and their habitats."
,key,"By the end of 2022, we have completed the first Survey Record of Guarding Ulan Buh in August 2022, which revealed that the Vormela Peregusna, listed on the IUCN Red List of Threatened Species, the Vulpes Corsac, a class II national key protected wild animal, and the Platalea Leucorodia, a national key protected animal, have all appeared in the oasis of the Ulan Buh Desert."
,key,"The Company embedded intellectual property protection into the product innovation process, carried out intellectual property search and infringement risk analysis at each key stage and timely protected the innovation achievements."
,key,"In September 2022, the China National Food Industry Association (CNFIA) released the 2022 CNFIA Science and Technology Awards, in which Mengniu's fermented milk functional upgrading, quality structure optimization key technology research and industrialization application projects won the first prize, low-temperature fresh milk category combination innovation and key technology integration project and the research and development of Yoyi C 0 sucrose active probiotic beverage won the second prize."
,key,"Mengniu's Ruibuen brand adopted the new UPU core technology of full-valent breast milk structural fat, which for the first time achieved a fat similarity of more than 90 with Chinese breast milk, breaking the record in the field of breast milk innovation research and was selected as a national key research project in the 13th Five-Year Plan."
,key,"In cooperation with Jiangnan University, the Company conducted in-depth research on the large-scale preparation of new core ingredients for infant dairy products and developed the world's first key technologies for the enzymatic synthesis of structural fat MLCT and new OPO."
,key,The research result was a key output of the National Key R&D Program of the 13th Five-Year Plan Research on the Creation and Common Key Technology of Special Needs Dairy Products Based on China's Breast Milk Components.
,key,"In 2022, eight key standards were published, including three national standards such as Statistical Methods for Production Process Quality Control Control Charts Part 7 Multiple Control Charts, one industry standard Milk Fat Spheres Milk (Whey) Protein Powder (QB T 5805-2022) and four group standards such as Fermented Milk for Student Drinking Milk and Pasteurized Milk for Student Drinking Milk of China Dairy Association."
,key,"The traceability information covers 8 processes and 16 steps of the whole industrial chain, achieving 100 coverage of key quality traceability information of the value chain."
,key,"Within the year, Mengniu held 125 sessions of General Course Public Course Empowerment Program and 13 sessions of key programs, covering 100 of quality personnel, with a total training investment of RMB 1 million."
,key,"The Company formulated the Personal Information Protection Compliance Management Regulations, Personal Information Protection Compliance Guidebook, APP Mini Program Personal Information Protection Compliance Operation Guidelines, IT Account Management System and other systems and management methods to strengthen the standardization of the full life cycle management of the group's data of all area, establish a prior review mechanism for personal information protection assessment, conduct personal information protection compliance risk assessment before the project is launched for projects involving consumer privacy protection, focusing on key management requirements for data compliance, embedding compliance review points into the contract review management mechanism to strengthen personal information protection."
,key,"In the year of 2022, the Company set up 4 key sub-goals with the strategic goal of no major information security incidents at the Group level and business continuity guarantee of core systems over 99."
,will,"In the future, adhering to the GREEN Sustainable Development Strategy with five pillars of Governance-Sustainability, Responsibility-Common Prosperity, Environment-Carbon Net-Zero, Ecosystem-Collaborative & Accountable and Nutrition- Supreme & Inclusive as directions, Mengniu will take technological innovation and consumer advocacy as driving force to become a more sustainable enterprise, and collaborate with the industrial chain ecosystem to protect the common health of mankind and the planet."
,will,"During the 14th Five-Year Plan period, Mengniu, standing at a new stage of development, will lead in the construction of a new paradigm of development of China's dairy industry and formulate its strategic plan of Creating a New Mengniu, striving to develop into a Mengniu beloved by consumers, an international Mengniu, a Mengniu with strong sense of responsibility, a Mengniu with strong cultural gene, and a digitalized Mengniu."
,will,"Mengniu encourages real-name reporting, but when receiving a report from the whistleblower or verifying the situation with the whistleblower, Mengniu will never publicly disclose the identity of the whistleblower and strictly protect the personal safety of the whistleblower."
,will,"In the future, Mengniu will continue to take on systematic and strategic public welfare and charity work to undertake its corporate social responsibility."
,will,"Currently, all the traditional boilers in Shengmu's pasture have been replaced by air source heat pumps using clean energy and the proportion of clean energy used in production and operations will be further increased in the future."
,will,"Risk Identification and Response of Entity Risk for Mengniu Business Under SSP5 Scenario Under the SSP5 scenario, greenhouse gas emissions prior to 2100 will remain at a high level, which could potentially exacerbate extreme weather events."
,will,"Therefore, in this scenario, Mengniu will face more challenges from physical risks."
,will,"Category SSP 1 Scenario SSP 5 Scenario Natural ecology 8Warming By 2040, global mean temperature will be risen by 1. 6 C compared with the pre- industrial period (2. 0 C by 2100)By 2040, global mean temperature will be risen by 1. 7 compared with the pre- industrial period (5. 2 by 2100) Sea level By 2040, sea level will be increased by 0. 1 meters compared with the pre-industrial period (0. 4 meters by 2100)By 2040, sea level will be increased by 0. 1 meters compared with the pre-industrial period (0. 7 meters by 2100) Extreme climate The frequency and intensity of extreme climate will be increased to a certain degreeThe frequency and intensity of extreme climate will be increased significantly Socioeconomic environmentClimate policy Several countries, regions and economies will issue progressively tighter low-carbon related policies and regulations, make long- term net zero emissions or carbon neutrality target commitments, and manage global environmental issuesDue to the influence of energy structure, policy, economy and other factors, countries are climate policy and management of local environmental issues Energy technology changes Reduce the use of fossil fuels and shift to renewable energy sourcesRely on fossil fuels without actively pursue alternative energy sources Land utilization Establish strict regulations to prevent behavior that may affect the environment and ecologyFormulate moderate regulations to gradually reduce the rate of deforestation Dietary habits Dietary preference is on less meat type diet Meaty dietRisk Risk Description Risk Response Acute physical risk Extremely cold weather The energy consumption of maintaining a constant temperature increase during the operation of the factory The energy consumption of maintaining the constant temperature environment of animals increases The cost related to the loss and maintenance of gas supply pipeline facilities increases The operation risk of field station operators and outdoor workers increases Formulating prevention and control measures for safety and supply risks in winter under extremely cold conditions Typhoon Severe damage to power or water supply facilities for production, causing some factories' production lines and other operations to stop operatingThe construction cost increase as factories and pastures are designed to cope with strong wind Problems such as raw milk sourcing and production interruption occur in the supply chain, and the Company involves in supply interruption, compensation and legal liability Formulating a typhoon emergency relief plan Raising the flood control steps to improve the ability to resist natural disasters Extreme precipitation and flooding The risk of flooding of pastures and factories located in low-lying areas increases The physical impact of extreme precipitation on animals in raw milk supply chain affects raw milk production and quality Causing serious damage to the facilities of the enterprise Formulating emergency rescue plans for flood control and lightning protection Interconnected with the urban management information platform, greatly improving the timeliness of information acquisition Predicting and managing extreme precipitation events in advance, taking precaution measures, and relocating milk sources Extremely hot weather May affect the water and electricity consumption of production factories interference with normal production Increased heat stress reaction in cattles leads to limited raw milk production and affects milk production and quality The difficulty of keeping raw milk fresh increases in the process of transportation The possibility of food contamination and food-borne diseases increases The operating cost of ventilation, refrigeration and air conditioning in the field station increases The risk of field station operators and outdoor workers increases Financial impact According to calculations, in 2022, Mengniu invested approximately RMB600, 000 in the use and rental of generators due to the shortage of electricity caused by the dry weather."
,will,"In response to the high temperature weather, factories will adjust their production strategy and activate the generator to ensure the electricity supply Developing a heat stroke emergency response plan Providing an adequate water source for cattles Ensuring the availability of high-quality feed Using more cattle sheds and shading structures Chronic physical risk Sea level rise The risk of write-off and early retirement of existing assets located in high-risk coastal areas increases, and the migration of some residential, investment and commercial activitie to inland areas affects existing markets The location, planning and design of new projects need to consider the impact of sea level rise Continuously monitor the rising trend of sea level Climate warming Fresh milk samples with regional dry period have higher degree of contamination, which increases food safety hazard The risk of heat wave, drought, and fire increases Energy consumption of gas supply facilities in winter may reduce Forming a complete cold-chain transportation supply chain Increasing the frequency of maintenance and inspection of transportation facilities"
,will,"Risk Risk Description Risk Response Policies and laws Energy structure and energy use In the long term, the Country's energy mix will shift to a predominantly non-fossil energy source, while shifting energy use to low emission sources The risks and financial impacts related to policy changes depend on the nature and time frame of the policy changes Adopting high energy efficiency solutions Encouraging more measures to improve water efficiency Promoting more sustainable land and pasture use."
,will,"Carbon pricing The government charges fees to carbon emitters, transfers the environmental impacts (i. e., external costs to the environment and society) caused by the emissions to the emitters and encourages them to change their business activities to reduce carbon emissions Implementing a corporate carbon-related asset management control mechanism Shifting energy use to low-emission sources Promoting comprehensive energy solutions Environmental information disclosure As climate change intensifies, measures such as carbon trading, carbon taxes, and environmental protection taxes will be implemented, and regulatory authorities will have higher requirements for the accuracy of environmental data reported by enterprises Disclosing energy consumption, carbon emissions and other data in a high-quality and transparent manner according to the rules and reporting guidelines of the regulatory agency Technology Risks in technological aspect The government generally encourages technological improvements or innovations in transitioning to a low- carbon, high-efficiency economic system, which could have a significant impact on our businesses Financial impact According to our calculation, Mengniu invested more than RMB 15 million in energy-saving facilities in 2022, mainly for energy-saving mechanical and electrical equipment upgrading, water treatment scale inhibition technological upgrading, energy consumption online monitoring, waste heat recovery, steam pipeline upgrading, etc Making active use of emerging technologies such as renewable energy, battery storage, and carbon capture and storage Reducing the carbon footprint of products Increasing green labels Market Customer preference shift Consumers are becoming more conscious of environmental protection, the low-carbon and environmental protection attributes of products become increasingly important criteria for consumption Implementing a diversified product strategy to provide more products with labels such as natural, organic and locally produced Providing environmentally conscious products that can be understood by consumers Reputation Failure to respond to the concerns of relevant parties More and more stakeholders are concerned about the climate response performance of listed companies, including but not limited to regulatory authorities, shareholders, partners, customers, the public, etc."
,will,"Among the carbon reduction value, 145 kgCO 2e of scope II emission will be reduced through power saving measures such as turning off lights and 10, 885 kgCO 2e of scope III emission will be reduced through employee's green commuting, office consumables saving and other measures."
,will,"On-site assessments In accordance with the primary screening criteria and more than 120 detailed assessment criteria covering quality assurance, production management, personnel management, warehousing, and logistics, the on-site assessments will be conducted at the premises of suppliers to verify whether they meet the admission requirements."
,will,"In the future, we will continue promoting suppliers to implement third-party responsible supply chain audits SMETA15 (Sedex Members Ethicial Trade Audit), thereby further reducing the ESG risks in our supply chain."
,will,"Among them, suppliers blacklisted for violating the Sunshine Agreement will be permanently banned, while other blacklisted suppliers will be banned for five years."
,will,"In the future, Mengniu will continue to establish an information security management system as the basis and build a management platform focusing on channel online, consumer online, supply chain online and management online."
,project,"Cultivation of Leading Management Talents Mengniu has created two sets of project systems, succession and competence, for the management group."
,project,"For example, the Blue Sea project adopted a 721 full-cycle training, with strict entry and strict exit, to train nearly 400 core management reserve talents, output key position reserves and continuously improve the thickness of the succession ladder."
,project,"In 2022, Mengniu invested in the construction of China Dairy Industry Park and promoted the employment of local migrant workers through project construction and industrial chain investment."
,project,Mengniu has actively participated in the Dairy Nourishes Africa (DNA) project initiated by the Global Dairy Platform (GDP).
,project,"The project focuses on dairy processors and addresses local nutrition security, people's livelihoods and economic growth by promoting the transformation of the local dairy value chain."
,project,"Boiler Flexibility Enhancement Project Mengniu's Room Temperature Business Unit conducted a boiler flexibility enhancement project at its Baotou factory, which includes improving the reliability and safety of the gas boiler system, ensuring accurate steam metering, increasing the intelligence of the control system, and enhancing the energy efficiency, stability, safety, and environmental friendliness of equipment operation."
,project,"The project is based on the workshop's usage needs and, through in-depth research and careful polishing, has achieved the goal of recycling all the waste condensate water and white smoke in the workshop's waste heat main pipe, effectively solving the problem of heat energy waste."
,project,"The project optimized the 8 major functional modules of the system covering 61 units, including improving the loading speed of each module and realizing efficient utilization of modules."
,project,"New Energy Conversion and Transformation of Lighting Facilities The Dangyang Plant of Ice Cream Product Business Unit implemented a new energy conversion project for its lighting facilities, installed 24 sets of low-voltage solar-powered energy-saving devices in the main road area of the factory, which convert solar energy into electricity."
,project,"The project contributed to an annual electricity savings of approximately 5, 000 kilowatt-hours, while also reducing the factory's carbon emissions."
,project,"The Ningxia project adopted green building technologies such as the solar power generation technology, the reclaimed water recovery technology, the highly reflective materials, and so forth to ensure that the Ningxia project is in line with international standards."
,project,"AWS10 Water Management Certification Program Pilot In 2022, Mengniu benchmarked international sustainable water management standards, selected two typical factories to implement the AWS certification project, and systematically improved the level of water resource management while exploring water-saving potential."
,project,"Zero-Waste Office In 2022, Mengniu Chilled Product Business Unit launched the zero-waste office project to raise employees' cognition of climate change and strengthen their awareness of environmental protection in the office scenario."
,project,"The zero- waste office project follows the principles of source reduction, reuse and recycling, and engages all employees in terms of sustainable office environment, low-carbon public operations, and green work and lifestyle."
,project,Project improvement We set up project and implement specified improvement measures in accordance with the prerequisites and management principles of the project.
,project,"In 2022, the RNG (Renewable Natural Gas) renewable natural gas cogeneration project carried out by Modern Dairy in cooperation with Central Southern China Electric Power Design Institute Co., Ltd. of China Power Engineering Consulting Group was put into production."
,project,"The project adopted cow manure as raw materials, after resource was processed into methane, and through the generator set for power generation."
,project,"Performance HighlightsMengniu GREEN Sustainable Development StrategyMessage from the CEO Statement of the Board Corporate Profile Corporate Culture Governance- SustainabilityAppendix Responsibility- Common ProsperityEnvironment- Carbon Net-ZeroNutrition- Supreme & Inclusive Ecosystem- Collaborative & Accountable Mengniu Selected in the COP15 Business Biodiversity Conservation Cases Bellamy's Blue Planet Public Welfare Project for Biodiversity Conservation Bellamy, a subsidary of Mengniu, joined with the China Environmental Protection Foundation to create the Blue Planet biodiversity conservation public welfare education project."
,project,The project is aimed at preschool children and elementary school students by establishing an ecological teaching base to carry out educational and entertaining interactive experiences and ecological education practice activities.
,project,"In 2022, the Blue Planet public welfare project held 20 activities and recruited about 400 groups of families to participate in the offline courses."
,project,"In 2022, Mengniu's Milk Deluxe and the China Environmental Protection Foundation jointly launched the Guarding Ulan Buh project, carrying out a series of public welfare actions focusing on the biodiversity of the desert region, aiming to develop the Ulan Buh Desert into a rich oasis where People and Nature Live Together in Harmony."
,project,"The project allowed children from all over the country to hike, travel, explore and plant trees in the Shengmu Ulan Buh Desert Base to experience desert management by themselves, learn practical desert knowledge and build awareness of desert protection."
,project,"During the meeting, the China Corner Meeting, themed Accelerating Business Action for Biodiversity Conservation in China, released the Business Biodiversity Conservation Cases, and Mengniu's Ulan Buh Desert Organic Farm project was selected as an industry best practice in the case collection, providing reference cases to guide Chinese corporates in biodiversity conservation."
,project,"Light Fresh Milk Festival and Light Fresh Milk Shelf China Student Nutrition and Health Development Conference NiuBay Nutrition Academy In 2022, Mengniu created the NiuBay Nutrition Academy project, which focused on nutrition, health, probiotic knowledge, quality life and other topics."
,project,"The project has carried out 7 online thematic live broadcasts, outputting more than 50 short science videos across the platform, with a total of 200, 000 views all over the Internet."
,project,"In September 2022, the China National Food Industry Association (CNFIA) released the 2022 CNFIA Science and Technology Awards, in which Mengniu's fermented milk functional upgrading, quality structure optimization key technology research and industrialization application projects won the first prize, low-temperature fresh milk category combination innovation and key technology integration project and the research and development of Yoyi C 0 sucrose active probiotic beverage won the second prize."
,project,"Mengniu's Ruibuen brand adopted the new UPU core technology of full-valent breast milk structural fat, which for the first time achieved a fat similarity of more than 90 with Chinese breast milk, breaking the record in the field of breast milk innovation research and was selected as a national key research project in the 13th Five-Year Plan."
,project,"In cooperation with the School of Public Health of Tsinghua University, we conducted a research project on the impact of the organic diet on infant health in early life to study the impact of eating organic foods in early life."
,project,"Mengniu actively followed up on the revision of important regulations such as the Dairy Product Production License Review Rules, provided feedback to enterprises and the industry, and participated in the preparation of the Dairy Nutrition Standard System Planning Report for the construction project of the standard system for high-quality development in Inner Mongolia Autonomous Region."
,project,"The Company formulated the Personal Information Protection Compliance Management Regulations, Personal Information Protection Compliance Guidebook, APP Mini Program Personal Information Protection Compliance Operation Guidelines, IT Account Management System and other systems and management methods to strengthen the standardization of the full life cycle management of the group's data of all area, establish a prior review mechanism for personal information protection assessment, conduct personal information protection compliance risk assessment before the project is launched for projects involving consumer privacy protection, focusing on key management requirements for data compliance, embedding compliance review points into the contract review management mechanism to strengthen personal information protection."
,plan,"During the 14th Five-Year Plan period, Mengniu, standing at a new stage of development, will lead in the construction of a new paradigm of development of China's dairy industry and formulate its strategic plan of Creating a New Mengniu, striving to develop into a Mengniu beloved by consumers, an international Mengniu, a Mengniu with strong sense of responsibility, a Mengniu with strong cultural gene, and a digitalized Mengniu."
,plan,"Management Mengniu Sustainable Development Committee has established the Sustainable Development Executive Committee, composed of senior executives of the Company, which is responsible for promoting the Group's sustainable development management and strategy, supervising the progress of the strategy implementation, examining the annual work plan, and reviewing ESG related disclosures."
,plan,"At the beginning of 2023, Mengniu held the Sustainable Development Conference, where the Sustainable Development Executive Committee listened to the ESG work report for 2022 and the work plan for 2023, and made decisions on key sustainable development issues."
,plan,"In addition, Mengniu Global Dairy Training Center completed the professional skills certification plan for more than 3, 000 people, effectively improving the competitiveness of employees and the skill level of workers."
,plan,"At the same time, Mengniu helps employees plan their personal career development path from three aspects, including practical experience, mentoring and training."
,plan,"Executive Level Mengniu's business units execute the Group's low-carbon development policy, undertake the Group's low-carbon development plan, formulate the business unit's low-carbon development implementation plan and related management documents, refine and decompose reduction targets, deploy and implement carbon reduction and emission reduction measures, as well as quantify reduction effects, meanwhile, business units report their carbon reduction progress and achieved status of carbon targets to the Group, forming a top-down and full-coverage dual-carbon action mechanism."
,plan,"Scope 1 and 2 GHG Management Based on the Group's dual-carbon target and strategic plan, Mengniu has clarified the focus of carbon reduction in production- related scope 1 and 2."
,plan,"Category SSP 1 Scenario SSP 5 Scenario Natural ecology 8Warming By 2040, global mean temperature will be risen by 1. 6 C compared with the pre- industrial period (2. 0 C by 2100)By 2040, global mean temperature will be risen by 1. 7 compared with the pre- industrial period (5. 2 by 2100) Sea level By 2040, sea level will be increased by 0. 1 meters compared with the pre-industrial period (0. 4 meters by 2100)By 2040, sea level will be increased by 0. 1 meters compared with the pre-industrial period (0. 7 meters by 2100) Extreme climate The frequency and intensity of extreme climate will be increased to a certain degreeThe frequency and intensity of extreme climate will be increased significantly Socioeconomic environmentClimate policy Several countries, regions and economies will issue progressively tighter low-carbon related policies and regulations, make long- term net zero emissions or carbon neutrality target commitments, and manage global environmental issuesDue to the influence of energy structure, policy, economy and other factors, countries are climate policy and management of local environmental issues Energy technology changes Reduce the use of fossil fuels and shift to renewable energy sourcesRely on fossil fuels without actively pursue alternative energy sources Land utilization Establish strict regulations to prevent behavior that may affect the environment and ecologyFormulate moderate regulations to gradually reduce the rate of deforestation Dietary habits Dietary preference is on less meat type diet Meaty dietRisk Risk Description Risk Response Acute physical risk Extremely cold weather The energy consumption of maintaining a constant temperature increase during the operation of the factory The energy consumption of maintaining the constant temperature environment of animals increases The cost related to the loss and maintenance of gas supply pipeline facilities increases The operation risk of field station operators and outdoor workers increases Formulating prevention and control measures for safety and supply risks in winter under extremely cold conditions Typhoon Severe damage to power or water supply facilities for production, causing some factories' production lines and other operations to stop operatingThe construction cost increase as factories and pastures are designed to cope with strong wind Problems such as raw milk sourcing and production interruption occur in the supply chain, and the Company involves in supply interruption, compensation and legal liability Formulating a typhoon emergency relief plan Raising the flood control steps to improve the ability to resist natural disasters Extreme precipitation and flooding The risk of flooding of pastures and factories located in low-lying areas increases The physical impact of extreme precipitation on animals in raw milk supply chain affects raw milk production and quality Causing serious damage to the facilities of the enterprise Formulating emergency rescue plans for flood control and lightning protection Interconnected with the urban management information platform, greatly improving the timeliness of information acquisition Predicting and managing extreme precipitation events in advance, taking precaution measures, and relocating milk sources Extremely hot weather May affect the water and electricity consumption of production factories interference with normal production Increased heat stress reaction in cattles leads to limited raw milk production and affects milk production and quality The difficulty of keeping raw milk fresh increases in the process of transportation The possibility of food contamination and food-borne diseases increases The operating cost of ventilation, refrigeration and air conditioning in the field station increases The risk of field station operators and outdoor workers increases Financial impact According to calculations, in 2022, Mengniu invested approximately RMB600, 000 in the use and rental of generators due to the shortage of electricity caused by the dry weather."
,plan,"In response to the high temperature weather, factories will adjust their production strategy and activate the generator to ensure the electricity supply Developing a heat stroke emergency response plan Providing an adequate water source for cattles Ensuring the availability of high-quality feed Using more cattle sheds and shading structures Chronic physical risk Sea level rise The risk of write-off and early retirement of existing assets located in high-risk coastal areas increases, and the migration of some residential, investment and commercial activitie to inland areas affects existing markets The location, planning and design of new projects need to consider the impact of sea level rise Continuously monitor the rising trend of sea level Climate warming Fresh milk samples with regional dry period have higher degree of contamination, which increases food safety hazard The risk of heat wave, drought, and fire increases Energy consumption of gas supply facilities in winter may reduce Forming a complete cold-chain transportation supply chain Increasing the frequency of maintenance and inspection of transportation facilities"
,plan,"Quality audit In the process of cooperation, we establish annual supplier audit plan and carry out quality inspection based on the quality risk level of suppliers."
,plan,"Quality Management and Control Mengniu strictly abides by the Food Safety Law of the People's Republic of China, the Product Quality Law of the People's Republic of China and other relevant laws and regulations and has set up a series of systems and management methods, including the General Rules for Quality Management of Mengniu Dairy, Quality Target Management System of Mengniu Dairy, Process Quality Control Product Life-Cycle Quality Assurance Mengniu continuously improves the quality management system, controls the product design, product raw materials, product quality inspection and product recall, introduces the quality management process F rom Pasture To Milk Cup, improves the food safety emergency plan system and manages and supervises the full product life cycle."
,can,"The occupational skills certification work covered 25 bases nationwide, with a coverage rate of 83, and 3, 000 professional talent certification plans were completed, which can effectively improve the competitiveness of employees and the skill level of workers."
,can,"Identi cation of Material TopicsThrough communication interviews, questionnaires and other forms, we can better understand the key concerns of stakeholders."
,can,"The occupational skills certification work covered 25 bases nationwide, with a coverage rate of 83, and more than 3, 000 professional talent certification plans were completed, which can effectively improve the competitiveness of employees and the skill level of workers."
,can,"Mengniu believes that creating an equal, inclusive, diverse, and anti-discriminatory workplace environment can help the Company attract talents, and can promote innovation and advancement from a richer perspective."
,can,"36 37 2022 Performance HighlightsMengniu GREEN Sustainable Development StrategyMessage from the CEO Statement of the Board Corporate Profile Corporate Culture Governance- SustainabilityAppendix Environment- Carbon Net-ZeroNutrition- Supreme & Inclusive Ecosystem- Collaborative & Accountable In 2022, Mengniu optimized the talent training system in an all-rounded way, focusing on the training of the above six types of talents, so that every employee can receive systematic and targeted training."
,can,"All female employees can fully feel the Company's care and blessings during the festival by pushing great women stories, receiving wishes sent by core executives, empowering women's health, presenting books and various caring activities carried out by grass- roots labor unions."
,can,Employee Relief Provides optional medical examinations and commercial insurance packages for employees and their families to ensure that every employee can work in good health and peace of mind.
,can,"Green value, the sum of the financial, environmental, social, benefits that a green product or service can provide to the consumers."
